"season"	"date"	"team"	"name"	"strtr"	"min"	"fgm"	"fga"	"tpm"	"tpa"	"ftm"	"fta"	"oreb"	"treb"	"ast"	"stl"	"blk"	"to"	"pf"	"pts"	"secs"
"2021"	20210622	"WAS"	"Theresa Plaisance"	2	"35:36"	4	15	2	7	0	0	2	9	3	0	2	0	1	10	2136
"2018"	20180523	"DAL"	"Karima Christmas-Kelly"	4	"24:56"	3	8	1	3	0	2	1	4	1	0	0	2	5	7	1496
"2021"	20210817	"LVA"	"Chelsea Gray"	3	"27:20"	4	8	1	2	4	4	0	2	4	1	0	3	1	13	1640
"2015"	20150710	"PHO"	"Candice Dupree"	2	"24:39"	7	13	0	0	2	2	0	3	5	1	0	1	1	16	1479
"2018"	20180523	"CHI"	"Stefanie Dolson"	2	"23:57"	4	12	0	2	1	1	1	6	3	1	2	0	0	9	1437
"2020"	20200905	"IND"	"Julie Allemand"	1	"35:14"	2	6	2	6	1	1	0	6	8	0	0	4	1	7	2114
"2021"	20210831	"MIN"	"Napheesa Collier"	1	"38:01"	8	19	0	3	5	6	4	14	0	2	1	4	1	21	2281
"2020"	20200806	"CON"	"Brionna Jones"	5	"23:31"	7	11	0	0	3	3	2	6	1	1	0	1	4	17	1411
"2017"	20170719	"IND"	"Marissa Coleman"	4	"19:52"	2	6	0	3	0	0	0	1	0	0	0	1	0	4	1192
"2018"	20180522	"LVA"	"Tamera Young"	2	"33:12"	5	11	0	0	3	3	0	3	1	3	0	4	2	13	1992
"2018"	20180724	"IND"	"Victoria Vivians"	5	"4:01"	1	1	0	0	0	0	0	0	0	0	0	1	1	2	241
"2018"	20180619	"WAS"	"LaToya Sanders"	5	"12:29"	3	3	0	0	0	0	2	4	1	1	0	1	2	6	749
"2020"	20200828	"MIN"	"Crystal Dangerfield"	1	"36:48"	6	21	2	9	9	10	0	4	2	1	0	1	1	23	2208
"2018"	20180802	"DAL"	"Allisha Gray"	2	"33:52"	4	7	1	3	0	0	2	3	2	2	0	2	4	9	2032
"2018"	20180615	"WAS"	"LaToya Sanders"	4	"24:08"	6	6	0	0	0	0	7	11	3	0	0	1	2	12	1448
"2019"	20190717	"DAL"	"Allisha Gray"	4	"23:31"	1	5	0	1	2	2	1	3	1	0	1	0	3	4	1411
"2019"	20190615	"CHI"	"Allie Quigley"	1	"34:59"	6	11	4	6	2	2	2	3	2	0	0	0	3	18	2099
"2019"	20190730	"LVA"	"Kayla McBride"	2	"23:10"	2	5	1	2	2	2	0	1	2	1	0	0	0	7	1390
"2015"	20150816	"ATL"	"Angel McCoughtry"	1	"30:45"	6	17	1	3	5	6	0	1	1	1	0	3	3	18	1845
"2021"	20210520	"MIN"	"Sylvia Fowles"	2	"30:58"	9	14	0	0	2	7	3	9	0	2	1	3	2	20	1858
"2015"	20150911	"NYL"	"Carolyn Swords"	1	"16:43"	1	1	0	0	2	2	3	5	1	0	0	3	4	4	1003
"2015"	20150821	"SEA"	"Sue Bird"	1	"30:06"	3	10	1	3	2	3	0	2	3	1	0	4	3	9	1806
"2016"	20160909	"DAL"	"Skylar Diggins-Smith"	2	"34:24"	5	14	1	4	5	5	0	1	3	1	1	2	3	16	2064
"2021"	20210910	"MIN"	"Kayla McBride"	2	"26:16"	6	12	2	4	1	4	0	3	3	0	0	0	1	15	1576
"2017"	20170805	"ATL"	"Brittney Sykes"	2	"28:13"	6	16	1	6	0	0	1	4	4	0	0	1	1	13	1693
"2017"	20170730	"ATL"	"Elizabeth Williams"	1	"33:36"	7	13	0	0	4	6	2	5	2	1	1	1	2	18	2016
"2017"	20170720	"CHI"	"Allie Quigley"	2	"34:23"	4	11	3	7	1	2	0	4	2	1	1	3	1	12	2063
"2016"	20160623	"DAL"	"Courtney Paris"	5	"12:28"	0	2	0	0	0	0	0	1	0	0	0	0	3	0	748
"2016"	20160911	"CHI"	"Cheyenne Parker"	5	"14:09"	1	4	0	0	2	6	2	4	0	0	0	1	4	4	849
"2015"	20150903	"NYL"	"Tanisha Wright"	4	"16:55"	2	6	0	0	3	4	1	1	2	2	0	2	1	7	1015
"2021"	20210705	"NYL"	"Betnijah Laney"	2	"33:33"	8	15	2	4	0	0	0	1	7	0	0	2	3	18	2013
"2019"	20190804	"LAS"	"Chelsea Gray"	1	"35:44"	3	8	3	6	1	2	1	2	8	1	0	4	0	10	2144
"2015"	20150814	"CON"	"Kelsey Bone"	1	"30:17"	8	14	0	1	1	2	1	7	1	1	0	3	3	17	1817
"2016"	20160514	"PHO"	"DeWanna Bonner"	2	"29:57"	4	10	2	4	0	2	0	5	2	0	1	2	1	10	1797
"2017"	20170825	"CHI"	"Jessica Breland"	4	"26:30"	5	9	0	0	5	6	1	6	1	0	2	2	3	15	1590
"2017"	20170725	"SEA"	"Breanna Stewart"	2	"35:50"	7	11	2	4	7	9	0	5	5	1	6	2	3	23	2150
"2019"	20190818	"WAS"	"Elena Delle Donne"	4	"25:01"	7	10	3	4	8	8	1	9	4	0	0	0	1	25	1501
"2019"	20190908	"WAS"	"Natasha Cloud"	2	"28:38"	2	7	2	5	2	2	2	4	6	2	0	3	1	8	1718
"2020"	20200912	"MIN"	"Rachel Banham"	2	"35:50"	10	14	7	8	2	4	1	1	10	0	0	2	0	29	2150
"2019"	20190827	"SEA"	"Mercedes Russell"	3	"25:39"	4	9	0	0	0	3	2	4	2	1	0	1	5	8	1539
"2020"	20200818	"IND"	"Kelsey Mitchell"	4	"30:56"	6	14	2	9	1	2	0	1	1	0	0	4	3	15	1856
"2018"	20180705	"LVA"	"Kelsey Bone"	5	"15:37"	2	3	0	0	0	0	2	8	3	0	0	0	1	4	937
"2016"	20160614	"NYL"	"Tina Charles"	2	"31:52"	10	19	3	4	5	6	3	3	3	0	1	1	3	28	1912
"2020"	20200807	"LVA"	"Angel McCoughtry"	3	"27:24"	8	15	2	2	6	6	0	8	5	3	0	3	3	24	1644
"2019"	20190908	"ATL"	"Brittney Sykes"	2	"29:27"	6	13	0	3	0	1	1	7	1	0	0	0	2	12	1767
"2017"	20170604	"WAS"	"Krystal Thomas"	4	"24:50"	3	4	0	0	2	2	3	7	2	0	2	3	3	8	1490
"2016"	20160625	"SAS"	"Monique Currie"	3	"20:41"	0	4	0	1	2	2	2	7	0	2	1	2	2	2	1241
"2015"	20150811	"WAS"	"Emma Meesseman"	4	"16:58"	0	4	0	0	0	0	1	3	0	0	2	1	2	0	1018
"2021"	20210826	"LAS"	"Kristi Toliver"	4	"25:52"	1	2	1	1	0	0	0	0	2	1	0	3	0	3	1552
"2016"	20160828	"SEA"	"Jewell Loyd"	2	"32:22"	8	17	1	4	3	4	0	1	4	2	0	0	1	20	1942
"2015"	20150621	"SEA"	"Alysha Clark"	4	"27:20"	5	9	0	2	1	2	1	9	1	1	1	0	3	11	1640
"2019"	20190808	"PHO"	"Leilani Mitchell"	1	"33:09"	6	11	4	7	3	3	0	2	5	0	0	3	3	19	1989
"2017"	20170519	"WAS"	"Tierra Ruffin-Pratt"	5	"17:16"	0	5	0	1	1	2	3	4	3	1	0	1	3	1	1036
"2018"	20180713	"CON"	"Jasmine Thomas"	1	"38:25"	5	12	2	6	2	2	0	2	3	4	1	2	3	14	2305
"2015"	20150625	"MIN"	"Seimone Augustus"	1	"37:21"	9	19	0	1	6	6	2	4	3	1	1	2	3	24	2241
"2021"	20210617	"CHI"	"Stefanie Dolson"	4	"28:07"	1	6	1	4	0	0	0	5	1	0	1	2	3	3	1687
"2018"	20180718	"SEA"	"Jewell Loyd"	1	"33:17"	8	15	2	8	2	2	3	10	8	3	0	1	2	20	1997
"2018"	20180701	"LVA"	"A'ja Wilson"	4	"18:57"	4	8	0	0	2	5	2	4	1	1	0	4	3	10	1137
"2015"	20150821	"NYL"	"Swin Cash"	4	"18:47"	3	7	1	2	0	0	1	1	5	0	0	2	1	7	1127
"2021"	20210910	"WAS"	"Leilani Mitchell"	2	"30:33"	0	2	0	1	2	2	0	3	3	0	0	2	2	2	1833
"2020"	20200806	"CHI"	"Azura Stevens"	5	"25:27"	1	5	1	1	2	4	2	5	2	3	3	0	5	5	1527
"2016"	20160904	"CON"	"Camille Little"	4	"23:37"	4	7	3	4	0	0	0	1	1	1	0	0	2	11	1417
"2020"	20200728	"MIN"	"Shenise Johnson"	5	"23:31"	2	5	0	2	0	0	0	2	2	1	0	3	2	4	1411
"2016"	20160514	"PHO"	"Brittney Griner"	3	"26:51"	3	6	0	0	6	6	0	5	1	0	2	3	3	12	1611
"2021"	20210919	"CHI"	"Azura Stevens"	5	"16:09"	4	5	0	0	0	0	2	3	1	1	0	0	2	8	969
"2018"	20180629	"IND"	"Candice Dupree"	4	"25:51"	3	9	0	0	0	0	1	6	1	0	0	3	1	6	1551
"2019"	20190714	"CON"	"Jonquel Jones"	1	"33:37"	11	19	3	7	1	1	3	8	2	3	3	4	1	26	2017
"2019"	20190620	"PHO"	"Yvonne Turner"	5	"10:50"	0	4	0	1	0	0	1	3	0	0	0	3	2	0	650
"2017"	20170820	"CON"	"Jonquel Jones"	2	"30:05"	8	11	1	2	3	3	2	8	1	1	1	0	4	20	1805
"2020"	20200820	"SEA"	"Breanna Stewart"	3	"33:48"	5	18	1	8	7	7	0	5	3	0	2	3	3	18	2028
"2021"	20210910	"ATL"	"Courtney Williams"	1	"34:05"	11	18	1	2	0	0	1	6	2	1	2	1	0	23	2045
"2015"	20150612	"PHO"	"Mistie Bass"	5	"10:37"	1	2	0	0	0	0	1	2	1	0	0	0	1	2	637
"2019"	20190719	"CON"	"Jonquel Jones"	2	"24:11"	4	11	0	4	4	7	4	9	2	3	2	2	3	12	1451
"2016"	20160604	"LAS"	"Nneka Ogwumike"	4	"26:14"	3	7	0	0	2	2	2	6	0	1	0	1	3	8	1574
"2018"	20180603	"CHI"	"Astou Ndour"	5	"10:25"	0	3	0	1	4	4	2	2	0	0	0	0	2	4	625
"2019"	20190707	"LVA"	"Liz Cambage"	2	"25:39"	7	13	0	0	7	8	5	11	2	2	2	2	1	21	1539
"2021"	20210908	"LVA"	"Chelsea Gray"	2	"30:21"	4	9	0	1	0	0	0	0	14	4	0	2	2	8	1821
"2017"	20170618	"IND"	"Candice Dupree"	1	"37:43"	8	22	0	0	2	2	3	8	3	0	0	0	3	18	2263
"2018"	20180722	"DAL"	"Kayla Thornton"	2	"37:03"	4	11	1	5	2	2	1	3	3	0	0	1	3	11	2223
"2021"	20210530	"LVA"	"A'ja Wilson"	4	"27:00"	4	8	0	0	7	8	0	4	4	0	0	1	1	15	1620
"2021"	20210603	"IND"	"Tiffany Mitchell"	4	"22:55"	3	9	0	2	4	6	0	2	1	0	0	2	2	10	1375
"2021"	20210619	"WAS"	"Theresa Plaisance"	3	"32:40"	6	13	3	9	1	2	3	12	4	1	0	2	1	16	1960
"2017"	20170804	"DAL"	"Glory Johnson"	2	"29:58"	4	10	1	2	2	2	3	16	2	1	1	2	1	11	1798
"2018"	20180715	"LAS"	"Nneka Ogwumike"	4	"31:56"	5	14	0	0	5	5	1	7	1	2	2	2	2	15	1916
"2019"	20190808	"PHO"	"DeWanna Bonner"	3	"30:57"	2	11	0	5	6	7	0	5	1	1	3	2	4	10	1857
"2017"	20170603	"SEA"	"Alysha Clark"	4	"26:35"	6	7	2	2	2	2	1	2	1	0	0	1	3	16	1595
"2018"	20180607	"SEA"	"Breanna Stewart"	2	"27:26"	7	13	1	5	1	2	2	5	2	2	0	3	1	16	1646
"2019"	20190707	"DAL"	"Kayla Thornton"	1	"37:55"	3	12	2	4	2	2	2	5	3	2	0	2	1	10	2275
"2019"	20190623	"IND"	"Erica Wheeler"	2	"32:36"	5	13	2	7	6	7	0	0	4	3	0	8	3	18	1956
"2019"	20190814	"LAS"	"Nneka Ogwumike"	2	"32:26"	8	14	0	2	5	6	2	9	2	3	2	2	2	21	1946
"2016"	20160710	"CHI"	"Imani McGee-Stafford"	3	"23:52"	4	5	0	0	4	5	6	13	1	0	2	3	4	12	1432
"2021"	20210821	"ATL"	"Crystal Bradford"	4	"27:38"	6	13	1	4	0	1	2	5	1	3	2	1	5	13	1658
"2019"	20190615	"ATL"	"Elizabeth Williams"	1	"34:39"	6	10	0	0	4	4	5	8	1	1	2	1	1	16	2079
"2015"	20150802	"SEA"	"Sue Bird"	2	"28:03"	5	17	3	7	1	1	0	3	2	1	0	4	2	14	1683
"2015"	20150627	"SAS"	"Jia Perkins"	1	"31:02"	5	15	0	6	1	2	3	6	3	2	0	0	1	11	1862
"2016"	20160612	"CON"	"Camille Little"	4	"20:15"	6	9	1	2	1	2	1	2	1	2	0	2	1	14	1215
"2021"	20210613	"NYL"	"Sami Whitcomb"	2	"34:39"	5	10	3	7	1	2	0	3	6	3	1	3	2	14	2079
"2018"	20180711	"ATL"	"Renee Montgomery"	4	"28:59"	6	9	5	8	4	4	0	1	5	4	0	1	1	21	1739
"2020"	20200823	"LAS"	"Sydney Wiese"	5	"19:42"	2	4	0	1	0	0	0	0	1	0	1	1	2	4	1182
"2017"	20170610	"CON"	"Shekinna Stricklen"	4	"29:04"	5	9	4	7	5	5	3	6	0	3	0	1	1	19	1744
